"","County","Reporting_Date","Total","UNA","DEM","REP","Total_Third_Party","GRE","LIB","RFP","CON","NAT","CNV","SSP","Monthly_Change","Percent_Monthly_Change","Cumulative_Change","Percent_Cumulative_Change"
"1","ATLANTIC",2019-12-31,191261,74592,64881,49183,2605,401,540,83,595,229,472,285,-346,-0.180904627707687,-346,-0.180577953832584
"2","ATLANTIC",2020-02-01,192048,74980,65049,49386,2633,407,547,86,593,232,479,289,787,0.409793384987087,441,0.230158605896444
"3","ATLANTIC",2020-03-01,193399,75342,65463,49809,2785,428,567,92,636,243,515,304,1351,0.698555835345581,1792,0.935247668404599
"4","ATLANTIC",2020-04-01,193699,75419,65598,49845,2837,430,573,94,654,247,530,309,300,0.154879477952906,2092,1.09181814860626
"5","ATLANTIC",2020-05-01,193792,75463,65623,49870,2836,431,577,94,651,245,530,308,93,0.0479895970937913,2185,1.14035499746878
"6","ATLANTIC",2020-06-01,193818,75559,65580,49852,2827,431,580,94,649,243,526,304,26,0.0134146467304378,2211,1.15392443908625
"7","ATLANTIC",2020-07-01,194771,70464,69918,51600,2789,430,571,93,637,239,516,303,953,0.489292553819614,3164,1.65129666452687
"8","ATLANTIC",2020-08-01,195965,69466,71142,52513,2844,441,581,91,653,242,527,309,1194,0.609292475697191,4358,2.27444717572949
"9","ATLANTIC",2020-09-01,196923,69994,71339,52720,2870,439,582,91,662,251,531,314,958,0.486484565033033,5316,2.77442890917346
"10","ATLANTIC",2020-10-01,199742,71666,71794,53420,2862,433,607,96,633,248,524,321,2819,1.41132060357862,8135,4.24566952146842
"11","ATLANTIC",2020-11-01,205137,75072,72778,54399,2888,426,635,93,618,253,543,320,5395,2.62994974090486,13530,7.06132865709499
"12","ATLANTIC",2020-12-01,205413,75254,72780,54484,2895,427,642,95,614,252,542,323,276,0.134363453140746,13806,7.20537349888052
"13","BERGEN",2019-12-31,636028,261132,233030,135617,6249,1030,1495,163,1320,503,1237,501,1578,0.248102284805071,1578,0.248719363227993
"14","BERGEN",2020-02-01,635955,261124,233031,135549,6251,1025,1494,163,1323,502,1242,502,-73,-0.0114787996006007,1505,0.237213334384112
"15","BERGEN",2020-03-01,642733,262932,236159,136920,6722,1101,1575,169,1436,550,1356,535,6778,1.05455920265491,8283,1.30554023169675
"16","BERGEN",2020-04-01,644050,263309,236935,137024,6782,1100,1581,172,1460,559,1371,539,1317,0.204487229252387,9600,1.51312160138703
"17","BERGEN",2020-05-01,644242,263470,237010,137005,6757,1101,1588,170,1447,555,1362,534,192,0.0298024655331382,9792,1.54338403341477
"18","BERGEN",2020-06-01,643863,263480,236861,136800,6722,1096,1585,168,1438,557,1346,532,-379,-0.0588634538713981,9413,1.48364725352668
"19","BERGEN",2020-07-01,645445,252421,246562,139767,6695,1089,1589,167,1430,552,1334,534,1582,0.245102216300382,10995,1.73299708408858
"20","BERGEN",2020-08-01,649369,247247,253191,142159,6772,1102,1605,168,1450,561,1346,540,3924,0.604278923077634,14919,2.35148553865553
"21","BERGEN",2020-09-01,653918,249834,254534,142721,6829,1100,1628,164,1460,570,1350,557,4549,0.695652971779336,19468,3.06848451414611
"22","BERGEN",2020-10-01,668663,260407,257085,144480,6691,1077,1641,164,1407,535,1329,538,14745,2.20514668824206,34213,5.3925447237765
"23","BERGEN",2020-11-01,678883,267575,258830,145797,6681,1073,1680,157,1387,518,1329,537,10220,1.50541404041639,44433,7.00338876191977
